year,annual_mean_temp,model
1952,10.98415300546448,MPI_ESM1_2_XR
1953,11.332602739726026,MPI_ESM1_2_XR
1954,10.633698630136987,MPI_ESM1_2_XR
1955,11.072054794520549,MPI_ESM1_2_XR
1956,10.1775956284153,MPI_ESM1_2_XR
1957,11.41890410958904,MPI_ESM1_2_XR
1958,11.783835616438358,MPI_ESM1_2_XR
1959,11.56821917808219,MPI_ESM1_2_XR
1960,10.876775956284153,MPI_ESM1_2_XR
1961,11.998082191780822,MPI_ESM1_2_XR
1962,11.414520547945205,MPI_ESM1_2_XR
1963,10.05178082191781,MPI_ESM1_2_XR
1964,10.940710382513661,MPI_ESM1_2_XR
1965,10.823287671232876,MPI_ESM1_2_XR
1966,10.04054794520548,MPI_ESM1_2_XR
1967,11.013698630136986,MPI_ESM1_2_XR
1968,10.598087431693989,MPI_ESM1_2_XR
1969,11.128219178082192,MPI_ESM1_2_XR
1970,10.787397260273973,MPI_ESM1_2_XR
1971,9.979452054794521,MPI_ESM1_2_XR
1972,9.887431693989072,MPI_ESM1_2_XR
1973,11.284383561643835,MPI_ESM1_2_XR
1974,9.846027397260274,MPI_ESM1_2_XR
1975,10.823013698630136,MPI_ESM1_2_XR
1976,10.334699453551913,MPI_ESM1_2_XR
1977,10.866027397260273,MPI_ESM1_2_XR
1978,11.097534246575343,MPI_ESM1_2_XR
1979,9.935616438356165,MPI_ESM1_2_XR
1980,10.729234972677595,MPI_ESM1_2_XR
1981,11.528219178082193,MPI_ESM1_2_XR
1982,11.863013698630137,MPI_ESM1_2_XR
1983,10.845479452054795,MPI_ESM1_2_XR
1984,11.921311475409835,MPI_ESM1_2_XR
1985,11.424383561643834,MPI_ESM1_2_XR
1986,10.42876712328767,MPI_ESM1_2_XR
1987,10.109041095890412,MPI_ESM1_2_XR
1988,10.473224043715847,MPI_ESM1_2_XR
1989,10.966849315068494,MPI_ESM1_2_XR
1990,11.270958904109587,MPI_ESM1_2_XR
1991,11.287123287671234,MPI_ESM1_2_XR
1992,11.105737704918033,MPI_ESM1_2_XR
1993,11.191780821917808,MPI_ESM1_2_XR
1994,9.803287671232876,MPI_ESM1_2_XR
1995,11.282191780821918,MPI_ESM1_2_XR
1996,11.271311475409837,MPI_ESM1_2_XR
1997,11.125753424657535,MPI_ESM1_2_XR
1998,12.027397260273972,MPI_ESM1_2_XR
1999,11.489315068493152,MPI_ESM1_2_XR
2000,12.265027322404372,MPI_ESM1_2_XR
2001,12.226301369863014,MPI_ESM1_2_XR
2002,13.119452054794522,MPI_ESM1_2_XR
2003,11.643013698630137,MPI_ESM1_2_XR
2004,11.739890710382515,MPI_ESM1_2_XR
2005,10.03890410958904,MPI_ESM1_2_XR
2006,12.69972602739726,MPI_ESM1_2_XR
2007,11.57945205479452,MPI_ESM1_2_XR
2008,12.347814207650273,MPI_ESM1_2_XR
2009,11.629041095890411,MPI_ESM1_2_XR
2010,10.942191780821918,MPI_ESM1_2_XR
2011,11.253424657534246,MPI_ESM1_2_XR
2012,12.428142076502732,MPI_ESM1_2_XR
2013,11.22931506849315,MPI_ESM1_2_XR
2014,12.175890410958903,MPI_ESM1_2_XR
2015,11.902191780821918,MPI_ESM1_2_XR
2016,10.944535519125683,MPI_ESM1_2_XR
2017,12.17945205479452,MPI_ESM1_2_XR
2018,12.172602739726027,MPI_ESM1_2_XR
2019,12.208767123287672,MPI_ESM1_2_XR
2020,12.3724043715847,MPI_ESM1_2_XR
2021,11.811506849315068,MPI_ESM1_2_XR
2022,11.087397260273972,MPI_ESM1_2_XR
2023,11.95890410958904,MPI_ESM1_2_XR
2024,11.78360655737705,MPI_ESM1_2_XR
2025,12.386301369863014,MPI_ESM1_2_XR
2026,13.235890410958906,MPI_ESM1_2_XR
2027,11.6586301369863,MPI_ESM1_2_XR
